회사명,종목코드,시장,감사인,감사의견,비고
DSC인베스트먼트,241520,코스닥,도원회계법인,적정의견,
TS인베스트먼트,246690,코스닥,태성회계법인,적정의견,
피엠티,147760,코스닥,,,감사의견 절을 못 찾음
HLB펩,196300,코스닥,선일회계법인,적정의견,
HLB펩,196300,코스닥,선일회계법인,적정의견,
유니온바이오메트릭스,203450,코스닥,신한회계법인,적정의견,
신라젠,215600,코스닥,삼일회계법인,적정의견,
자비스,254120,코스닥,현대회계법인,적정의견,
핸즈코퍼레이션,143210,유가,한영회계법인,적정의견,
티이엠씨씨엔에스,241790,코스닥,삼정회계법인,적정의견,
퓨쳐켐,220100,코스닥,신한회계법인,적정의견,
뉴파워프라즈마,144960,코스닥,대현회계법인,적정의견,
엘앤케이바이오,156100,코스닥,정동회계법인,적정의견,
폴라리스AI핸디,220180,코스닥,한울회계법인,적정의견,
두산밥캣,241560,유가,한영회계법인,적정의견,
삼성바이오로직스,207940,유가,삼일회계법인,적정의견,
클리오,237880,코스닥,정진세림회계법인,적정의견,
오가닉티코스메틱,900300,코스닥,신한회계법인,적정의견,
얼라인드,238120,코스닥,삼덕회계법인,적정의견,
세화피앤씨,252500,코스닥,한미회계법인,적정의견,
인크로스,216050,코스닥,삼정회계법인,적정의견,
에이치엘사이언스,239610,코스닥,대주회계법인,적정의견,
코스메카코리아,241710,코스닥,,,감사의견 절을 못 찾음
JW생명과학,234080,유가,한영회계법인,적정의견,
GRT,900290,코스닥,인덕회계법인,적정의견,
인텔리안테크,189300,코스닥,동현회계법인,적정의견,
에이치시티,072990,코스닥,한울회계법인,적정의견,
잉글우드랩,950140,코스닥,대주회계법인,적정의견,
앤디포스,238090,코스닥,삼일회계법인,적정의견,
수산아이앤티,050960,코스닥,다산회계법인,적정의견,
미투온,201490,코스닥,삼도회계법인,적정의견,
화승엔터프라이즈,241590,유가,한울회계법인,적정의견,
예선테크,250930,코스닥,삼일회계법인,적정의견,
LS에코에너지,229640,유가,안진회계법인,적정의견,
유니테크노,241690,코스닥,삼일회계법인,적정의견,
모비스,250060,코스닥,삼일회계법인,적정의견,
나무에이엑스,242040,코스닥,한울회계법인,적정의견,
자이글,234920,코스닥,광교회계법인,적정의견,
일동제약,249420,유가,삼일회계법인,적정의견,
헝셩그룹,900270,코스닥,우리회계법인,적정의견,
샘표식품,248170,유가,예일회계법인,적정의견,
두올,016740,유가,EY한영회계법인,적정의견,
다산디엠씨,208860,코스닥,신한회계법인,적정의견,
우리손에프앤지,073560,코스닥,삼덕회계법인,적정의견,
우리손에프앤지,073560,코스닥,삼덕회계법인,적정의견,
MSDI,123010,코스닥,,,최근 2년 사업보고서 없음
동서,026960,유가,,,최근 2년 사업보고서 없음
한국자산신탁,123890,유가,한영회계법인,적정의견,
한국토지신탁,034830,유가,성현회계법인,적정의견,
모아라이프플러스,142760,코스닥,정진세림회계법인,적정의견,
피앤씨테크,237750,코스닥,,,감사의견 절을 못 찾음
로스웰,900260,코스닥,우리회계법인,적정의견,
해성디에스,195870,유가,삼정회계법인,적정의견,
에스티팜,237690,코스닥,삼일회계법인,적정의견,
지씨셀,144510,코스닥,한영회계법인,적정의견,
알엔투테크놀로지,148250,코스닥,삼덕회계법인,적정의견,
이스트에이드,239340,코스닥,한울회계법인,적정의견,
휴온스,243070,코스닥,삼일회계법인,적정의견,
모나용평,070960,유가,한울회계법인,적정의견,
해태제과식품,101530,유가,안진회계법인,적정의견,
원익IPS,240810,코스닥,삼일회계법인,적정의견,
레이언스,228850,코스닥,대주회계법인,적정의견,
동양파일,228340,코스닥,서우회계법인,적정의견,
삼일씨엔에스,004440,유가,서우회계법인,적정의견,
팬젠,222110,코스닥,한울회계법인,적정의견,
AP위성,211270,코스닥,태성회계법인,적정의견,
큐리언트,115180,코스닥,대주회계법인,적정의견,
안트로젠,065660,코스닥,대주회계법인,적정의견,
슈프리마,236200,코스닥,삼정회계법인,적정의견,
제이에스코퍼레이션,194370,유가,안진회계법인,적정의견,
유니트론텍,142210,코스닥,서현회계법인,적정의견,
크리스탈신소재,900250,코스닥,우리회계법인,적정의견,
더코디,224060,코스닥,삼덕회계법인,적정의견,
에스와이,109610,코스닥,삼일회계법인,적정의견,
잇츠한불,226320,유가,대주회계법인,적정의견,
사토시홀딩스,223310,코스닥,,,감사의견 절을 못 찾음
와이씨,232140,코스닥,삼정회계법인,적정의견,
육일씨엔에쓰,191410,코스닥,신우회계법인,적정의견,
휴젤,145020,코스닥,삼일회계법인,적정의견,
한국맥널티,222980,코스닥,대성삼경회계법인,적정의견,
덱스터,206560,코스닥,다산회계법인,적정의견,
아진산업,013310,코스닥,대현회계법인,적정의견,
HLB제약,047920,코스닥,삼정회계법인,적정의견,
강스템바이오텍,217730,코스닥,안진회계법인,적정의견,
메가엠디,133750,코스닥,삼정회계법인,적정의견,
HC보광산업,225530,코스닥,안경회계법인,적정의견,
파크시스템스,140860,코스닥,다산회계법인,적정의견,
에치에프알,230240,코스닥,삼정회계법인,적정의견,
예스티,122640,코스닥,삼일회계법인,적정의견,
코스맥스엔비티,222040,코스닥,광교회계법인,적정의견,
멕아이씨에스,058110,코스닥,삼정회계법인,적정의견,
원익피앤이,217820,코스닥,이촌회계법인,적정의견,
세진중공업,075580,유가,광교회계법인,적정의견,
하이즈항공,221840,코스닥,삼정회계법인,적정의견,
DXVX,180400,코스닥,안경회계법인,적정의견,
케이디켐,221980,코스닥,우리회계법인,적정의견,
네오오토,212560,코스닥,삼정회계법인,적정의견,
엔투텍,227950,코스닥,삼덕회계법인,적정의견,
케어젠,214370,코스닥,동현회계법인,적정의견,
아이진,185490,코스닥,삼일회계법인,적정의견,
나무가,190510,코스닥,삼덕회계법인,적정의견,
시지메드텍,056090,코스닥,한영회계법인,적정의견,
금호에이치티,214330,유가,대주회계법인,적정의견,
제주항공,089590,유가,,,감사의견 절을 못 찾음
본느,226340,코스닥,이촌회계법인,적정의견,
엔케이젠바이오텍코리아,182400,코스닥,대주회계법인,,
현대코퍼레이션홀딩스,227840,유가,삼정회계법인,적정의견,
엑시콘,092870,코스닥,안진회계법인,적정의견,
케이엠제약,225430,코스닥,한울회계법인,적정의견,
패션플랫폼,225590,코스닥,삼덕회계법인,적정의견,
LIG디펜스앤에어로스페이스,079550,유가,삼일회계법인,적정의견,
넥슨게임즈,225570,코스닥,삼일회계법인,적정의견,
제너셈,217190,코스닥,삼덕회계법인,적정의견,
타이거일렉,219130,코스닥,동현회계법인,적정의견,
HDC랩스,039570,유가,삼일회계법인,적정의견,
동일제강,002690,유가,삼정회계법인,적정의견,
아고스,175140,코스닥,삼덕회계법인,적정의견,
SFA넥셀,222080,코스닥,정진세림회계법인,적정의견,
에이텍모빌리티,224110,코스닥,한울회계법인,적정의견,
웹스,196700,코스닥,예일회계법인,적정의견,
AJ네트웍스,095570,유가,한영회계법인,적정의견,
파인텍,131760,코스닥,태일회계법인,적정의견,
심텍,222800,코스닥,삼일회계법인,적정의견,
흥국에프엔비,189980,코스닥,안진회계법인,적정의견,
쎄노텍,222420,코스닥,선일회계법인,적정의견,
칩스앤미디어,094360,코스닥,삼일회계법인,적정의견,
아시아경제,127710,코스닥,우리회계법인,적정의견,
아이쓰리시스템,214430,코스닥,삼일회계법인,적정의견,
로지시스,067730,코스닥,삼일회계법인,적정의견,
켐트로스,220260,코스닥,삼도회계법인,적정의견,
파마리서치,214450,코스닥,신한회계법인,적정의견,
디와이디,219550,코스닥,예일회계법인,적정의견,
펩트론,087010,코스닥,대주회계법인,적정의견,
이노션,214320,유가,삼정회계법인,적정의견,
토니모리,214420,유가,대주회계법인,적정의견,
미래에셋생명,085620,유가,삼일회계법인,적정의견,
RFHIC,218410,코스닥,삼일회계법인,적정의견,
동운아나텍,094170,코스닥,삼덕회계법인,적정의견,
일월지엠엘,178780,코스닥,삼일회계법인,적정의견,
헥토이노베이션,214180,코스닥,삼일회계법인,적정의견,
경보제약,214390,유가,한영회계법인,적정의견,
코아스템켐온,166480,코스닥,안진회계법인,적정의견,
SK디앤디,210980,유가,안진회계법인,적정의견,
베셀,177350,코스닥,삼덕회계법인,적정의견,
넵튠,217270,코스닥,삼정회계법인,적정의견,
미래생명자원,218150,코스닥,대주회계법인,적정의견,
싸이맥스,160980,코스닥,대주회계법인,적정의견,
러셀,217500,코스닥,한울회계법인,적정의견,
픽셀플러스,087600,코스닥,대주회계법인,적정의견,
HLB제넥스,187420,코스닥,삼도회계법인,적정의견,
콜마바이오텍,215380,코스닥,정진세림회계법인,적정의견,
토박스코리아,215480,코스닥,우리회계법인,적정의견,
이노인스트루먼트,215790,코스닥,도원회계법인,적정의견,
우리산업,215360,코스닥,대주회계법인,적정의견,
메가스터디교육,215200,코스닥,,,감사의견 절을 못 찾음
솔디펜스,215090,코스닥,현대회계법인,적정의견,
로보로보,215100,코스닥,신우회계법인,적정의견,
디알텍,214680,코스닥,삼일회계법인,적정의견,
루트K,195990,코스닥,정인회계법인,적정의견,
골프존,215000,코스닥,대주회계법인,적정의견,
클래시스,214150,코스닥,삼덕회계법인,적정의견,
FSN,214270,코스닥,우리회계법인,적정의견,
다이나믹디자인,145210,유가,삼일회계법인,한정의견,
다이나믹디자인,145210,유가,삼일회계법인,한정의견,
포시에스,189690,코스닥,한울회계법인,적정의견,
덕산네오룩스,213420,코스닥,안진회계법인,적정의견,
한솔제지,213500,유가,,,감사의견 절을 못 찾음
디와이파워,210540,유가,한영회계법인,적정의견,
국일신동,060480,코스닥,삼일회계법인,적정의견,
링크드,193250,코스닥,우리회계법인,적정의견,
바디텍메드,206640,코스닥,한울회계법인,적정의견,
썸에이지,208640,코스닥,삼일회계법인,적정의견,
에이팩트,200470,코스닥,한울회계법인,적정의견,
휴메딕스,200670,코스닥,삼정회계법인,적정의견,
서전기전,189860,코스닥,신한회계법인,적정의견,
아스트,067390,코스닥,한울회계법인,적정의견,
오킨스전자,080580,코스닥,삼일회계법인,적정의견,
지란지교시큐리티,208350,코스닥,안진회계법인,적정의견,
포톤,208710,코스닥,삼정회계법인,적정의견,
NEW,160550,코스닥,삼일회계법인,적정의견,
아이티센글로벌,124500,코스닥,한영회계법인,적정의견,
삼성물산,028260,유가,,,최근 2년 사업보고서 없음
녹십자엠에스,142280,코스닥,삼정회계법인,적정의견,
디티앤씨,187220,코스닥,삼정회계법인,적정의견,
셀바스헬스케어,208370,코스닥,한영회계법인,적정의견,
정다운,208140,코스닥,이촌회계법인,적정의견,
정다운,208140,코스닥,이촌회계법인,적정의견,
하이로닉,149980,코스닥,신한회계법인,적정의견,
랩지노믹스,084650,코스닥,삼덕회계법인,적정의견,
에이디테크놀로지,200710,코스닥,동현회계법인,적정의견,
비씨월드제약,200780,코스닥,한울회계법인,적정의견,
미스터블루,207760,코스닥,태성회계법인,적정의견,
알테오젠,196170,코스닥,삼일회계법인,적정의견,
베노티앤알,206400,코스닥,리안회계법인,적정의견,
대창스틸,140520,코스닥,이촌회계법인,적정의견,
에프엔씨엔터,173940,코스닥,서현회계법인,적정의견,
휴마시스,205470,코스닥,삼덕회계법인,적정의견,
씨에스윈드,112610,유가,삼일회계법인,적정의견,
텔콘RF제약,200230,코스닥,동성회계법인,적정의견,
지엘팜텍,204840,코스닥,대주회계법인,적정의견,
글로벌텍스프리,204620,코스닥,안진회계법인,적정의견,
디에이테크놀로지,196490,코스닥,신한회계법인,의견거절,
삼성에스디에스,018260,유가,삼일회계법인,적정의견,
넥써쓰,205500,코스닥,삼일회계법인,적정의견,
엑셈,205100,코스닥,삼덕회계법인,적정의견,
테고사이언스,191420,코스닥,대주회계법인,적정의견,
슈피겐코리아,192440,코스닥,삼덕회계법인,적정의견,
영우디에스피,143540,코스닥,도원회계법인,적정의견,
드림시큐리티,203650,코스닥,정진세림회계법인,적정의견,
메디아나,041920,코스닥,삼일회계법인,적정의견,
HL만도,204320,유가,삼일회계법인,적정의견,
데브시스터즈,194480,코스닥,네트워크회계법인,적정의견,
오늘이엔엠,192410,코스닥,삼덕회계법인,적정의견,
강동씨앤엘,198440,코스닥,안진회계법인,적정의견,
강동씨앤엘,198440,코스닥,안진회계법인,적정의견,
서연이화,200880,유가,,,감사의견 절을 못 찾음
신화콘텍,187270,코스닥,인덕회계법인,적정의견,
쿠쿠홀딩스,192400,유가,안경회계법인,적정의견,
파버나인,177830,코스닥,대주회계법인,적정의견,
덕신이피씨,090410,코스닥,이촌회계법인,적정의견,
창해에탄올,004650,코스닥,대주회계법인,적정의견,
윈하이텍,192390,코스닥,태일회계법인,적정의견,
아진엑스텍,059120,코스닥,광교회계법인,적정의견,
콜마비앤에이치,200130,코스닥,정인회계법인,적정의견,
화인베스틸,133820,유가,한미회계법인,적정의견,
엣지파운드리,105550,코스닥,한미회계법인,적정의견,
코아시아씨엠,196450,코스닥,삼일회계법인,적정의견,
캐스텍코리아,071850,코스닥,선진회계법인,적정의견,
BGF,027410,유가,한영회계법인,적정의견,
나노,187790,코스닥,대주회계법인,적정의견,
케이사인,192250,코스닥,신한회계법인,적정의견,
코스맥스,192820,유가,삼덕회계법인,적정의견,
오이솔루션,138080,코스닥,선일회계법인,적정의견,
오이솔루션,138080,코스닥,선일회계법인,적정의견,
한국정보인증,053300,코스닥,삼일회계법인,적정의견,
다산솔루에타,154040,코스닥,삼일회계법인,적정의견,
현대이지웰,090850,코스닥,안진회계법인,적정의견,
SGA솔루션즈,184230,코스닥,대주회계법인,적정의견,
기가레인,049080,코스닥,한미회계법인,적정의견,
알티캐스트,085810,코스닥,우리회계법인,적정의견,
종근당,185750,유가,안진회계법인,적정의견,
현대공업,170030,코스닥,현대회계법인,적정의견,
엔브이에이치코리아,067570,코스닥,삼일회계법인,적정의견,
탑코미디어,134580,코스닥,대주회계법인,적정의견,
신송홀딩스,006880,유가,삼일회계법인,적정의견,
큐브엔터,182360,코스닥,현대회계법인,적정의견,
라이온켐텍,171120,코스닥,신우회계법인,적정의견,
램테크놀러지,171010,코스닥,신우회계법인,적정의견,
앤로보틱스,138360,코스닥,한영회계법인,적정의견,
아세아시멘트,183190,유가,삼정회계법인,적정의견,
해성옵틱스,076610,코스닥,안진회계법인,적정의견,
내츄럴엔도텍,168330,코스닥,예일회계법인,적정의견,
현대로템,064350,유가,삼정회계법인,적정의견,
두산테스나,131970,코스닥,성현회계법인,적정의견,
파수AI,150900,코스닥,대주회계법인,적정의견,
엘티씨,170920,코스닥,대주회계법인,적정의견,
지엔씨에너지,119850,코스닥,대주회계법인,적정의견,
한진칼,180640,유가,삼정회계법인,적정의견,
아미코젠,092040,코스닥,삼덕회계법인,적정의견,
NHN,181710,유가,삼일회계법인,적정의견,
GH신소재,130500,코스닥,삼일회계법인,적정의견,
파이오링크,170790,코스닥,삼정회계법인,적정의견,
KG에코솔루션,151860,코스닥,삼정회계법인,적정의견,
JB금융지주,175330,유가,삼일회계법인,적정의견,
KT나스미디어,089600,코스닥,삼일회계법인,적정의견,
엑세스바이오,950130,코스닥,우리회계법인,적정의견,
DSR,155660,유가,대주회계법인,적정의견,
리가켐바이오,141080,코스닥,삼정회계법인,적정의견,
동아에스티,170900,유가,삼일회계법인,적정의견,
윈팩,097800,코스닥,삼일회계법인,적정의견,
코렌텍,104540,코스닥,삼덕회계법인,적정의견,
제로투세븐,159580,코스닥,광교회계법인,적정의견,
한솔아이원스,114810,코스닥,삼일회계법인,적정의견,
우리이앤엘하루틴,153490,코스닥,성현회계법인,적정의견,
아이센스,099190,코스닥,삼정회계법인,적정의견,
에코글로우,159910,코스닥,이촌회계법인,적정의견,
우리로,046970,코스닥,정동회계법인,적정의견,
우리로,046970,코스닥,정동회계법인,적정의견,
디젠스,113810,코스닥,대주회계법인,적정의견,
지엠비코리아,013870,유가,,,최근 2년 사업보고서 없음
와이엠씨,155650,코스닥,광교회계법인,적정의견,
LG헬로비전,037560,유가,안진회계법인,적정의견,
아바텍,149950,코스닥,리안회계법인,적정의견,
동일고무벨트,163560,유가,신한회계법인,적정의견,
한국콜마,161890,유가,삼덕회계법인,적정의견,
한국타이어앤테크놀로지,161390,유가,삼일회계법인,적정의견,
코이즈,121850,코스닥,신한회계법인,적정의견,
애경케미칼,161000,유가,한영회계법인,적정의견,
네이블,153460,코스닥,다산회계법인,적정의견,
피엔티,137400,코스닥,성현회계법인,적정의견,
사조씨푸드,014710,유가,삼정회계법인,적정의견,
비아트론,141000,코스닥,신한회계법인,적정의견,
빛샘전자,072950,코스닥,이촌회계법인,적정의견,
휴비스,079980,유가,한미회계법인,적정의견,
사람인,143240,코스닥,삼일회계법인,적정의견,
제룡산업,147830,코스닥,안진회계법인,적정의견,
남화토건,091590,코스닥,한미회계법인,적정의견,
남화토건,091590,코스닥,한미회계법인,적정의견,
케이탑리츠,145270,유가,삼정회계법인,적정의견,
메지온,140410,코스닥,한울회계법인,적정의견,
원익머트리얼즈,104830,코스닥,안진회계법인,적정의견,
제이에스링크,127120,코스닥,대주회계법인,적정의견,
GS리테일,007070,유가,안진회계법인,적정의견,
나이스디앤비,130580,코스닥,삼일회계법인,적정의견,
시큐브,131090,코스닥,신한회계법인,적정의견,
서암기계공업,100660,코스닥,삼덕회계법인,적정의견,
서암기계공업,100660,코스닥,삼덕회계법인,적정의견,
인터지스,129260,유가,태일회계법인,적정의견,
씨유메디칼,115480,코스닥,삼덕회계법인,적정의견,
삼양사,145990,유가,,,최근 2년 사업보고서 없음
키네마스터,139670,코스닥,우리회계법인,적정의견,
비덴트,121800,코스닥,대성삼경회계법인,적정의견,
신진에스엠,138070,코스닥,대주회계법인,적정의견,
이엠넷,123570,코스닥,삼덕회계법인,적정의견,
와이지엔터테인먼트,122870,코스닥,선일회계법인,적정의견,
테크윙,089030,코스닥,대주회계법인,적정의견,
씨큐브,101240,코스닥,신한회계법인,적정의견,
엠엑스로보틱스,007820,코스닥,한영회계법인,적정의견,
씨엔플러스,115530,코스닥,예지회계법인,적정의견,
하나투어,039130,유가,한영회계법인,적정의견,
로보스타,090360,코스닥,,,감사의견 절을 못 찾음
대한과학,131220,코스닥,태성회계법인,적정의견,
아이디스,143160,코스닥,대주회계법인,적정의견,
에이블씨엔씨,078520,유가,안진회계법인,적정의견,
제이씨케미칼,137950,코스닥,,,감사의견 절을 못 찾음
아이씨디,040910,코스닥,삼일회계법인,적정의견,
제닉,123330,코스닥,삼정회계법인,적정의견,
삼원강재,023000,유가,삼덕회계법인,적정의견,
상아프론테크,089980,코스닥,우리회계법인,적정의견,
신세계인터내셔날,031430,유가,한영회계법인,적정의견,
나이벡,138610,코스닥,삼일회계법인,적정의견,
옵티시스,109080,코스닥,삼정회계법인,적정의견,
대양전기공업,108380,코스닥,신우회계법인,적정의견,
한국항공우주,047810,유가,한영회계법인,적정의견,
롯데하이마트,071840,유가,안진회계법인,적정의견,
서연탑메탈,019770,코스닥,삼정회계법인,적정의견,
한세엠케이,069640,유가,신한회계법인,적정의견,
넥스트아이,137940,코스닥,한미회계법인,적정의견,
티엔엔터테인먼트,131100,코스닥,삼일회계법인,적정의견,
이마트,139480,유가,삼정회계법인,적정의견,
iM금융지주,139130,유가,삼일회계법인,적정의견,
케이티스카이라이프,053210,유가,삼일회계법인,적정의견,
KX,122450,코스닥,신우회계법인,적정의견,
골프존홀딩스,121440,코스닥,,,감사의견 절을 못 찾음
메리츠금융지주,138040,유가,,,감사의견 절을 못 찾음
윈스테크넷,136540,코스닥,대주회계법인,적정의견,
하림,136480,코스닥,삼일회계법인,적정의견,
한국종합기술,023350,유가,삼도회계법인,적정의견,
이퓨쳐,134060,코스닥,삼덕회계법인,적정의견,
티케이케미칼,104480,코스닥,다산회계법인,적정의견,
BNK금융지주,138930,유가,한영회계법인,적정의견,
롯데에너지머티리얼즈,020150,유가,안진회계법인,적정의견,
부스타,008470,코스닥,이정회계법인,적정의견,
현대위아,011210,유가,삼일회계법인,적정의견,
선진,136490,유가,,,최근 2년 사업보고서 없음
미원화학,134380,유가,우리회계법인,적정의견,
나노신소재,121600,코스닥,,,감사의견 절을 못 찾음
케이아이엔엑스,093320,코스닥,대주회계법인,적정의견,
티피씨글로벌,130740,코스닥,삼덕회계법인,적정의견,
LB세미콘,061970,코스닥,삼덕회계법인,적정의견,
딜리,131180,코스닥,대주회계법인,적정의견,
제이엔케이글로벌,126880,코스닥,,,감사의견 절을 못 찾음
블루콤,033560,코스닥,신한회계법인,적정의견,
인트론바이오,048530,코스닥,신한회계법인,적정의견,
시디즈,134790,유가,삼덕회계법인,적정의견,
알서포트,131370,코스닥,우리회계법인,적정의견,
인텍플러스,064290,코스닥,서우회계법인,적정의견,
티에스이,131290,코스닥,한미회계법인,적정의견,
한화엔진,082740,유가,다산회계법인,적정의견,
이브이첨단소재,131400,코스닥,삼일회계법인,적정의견,
대성에너지,117580,유가,서현회계법인,적정의견,
현대퓨처넷,126560,유가,한영회계법인,적정의견,
대정화금,120240,코스닥,대주회계법인,적정의견,
KTis,058860,유가,삼일회계법인,적정의견,
한전산업,130660,유가,한울회계법인,적정의견,
피제이메탈,128660,코스닥,삼일회계법인,적정의견,
옵투스제약,131030,코스닥,선진회계법인,적정의견,
에이루트,096690,코스닥,삼덕회계법인,적정의견,
엘브이엠씨,900140,유가,한울회계법인,적정의견,
티비씨,033830,코스닥,선일회계법인,적정의견,
시그네틱스,033170,코스닥,이촌회계법인,적정의견,
한국전자인증,041460,코스닥,,,감사의견 절을 못 찾음
BGF에코머티리얼즈,126600,코스닥,삼정회계법인,적정의견,
디케이락,105740,코스닥,서현회계법인,적정의견,
위메이드플레이,123420,코스닥,삼정회계법인,적정의견,
아나패스,123860,코스닥,한울회계법인,적정의견,
KNN,058400,코스닥,안경회계법인,적정의견,
누리플랜,069140,코스닥,이촌회계법인,적정의견,
아이텍,119830,코스닥,예일회계법인,적정의견,
인화정공,101930,코스닥,안경회계법인,적정의견,
셀피글로벌,068940,코스닥,삼일회계법인,적정의견,
뉴온,123840,코스닥,한울회계법인,적정의견,
미스토홀딩스,081660,유가,삼정회계법인,적정의견,
알파칩스,117670,코스닥,삼정회계법인,적정의견,
포메탈,119500,코스닥,태성회계법인,적정의견,
KTcs,058850,유가,삼정회계법인,적정의견,
다원시스,068240,코스닥,대주회계법인,의견거절,
씨젠,096530,코스닥,안진회계법인,적정의견,
와이솔,122990,코스닥,한영회계법인,적정의견,
하이비젼시스템,126700,코스닥,다산회계법인,적정의견,
화신정공,126640,코스닥,삼덕회계법인,적정의견,
코리아에프티,123410,코스닥,삼덕회계법인,적정의견,
도화엔지니어링,002150,유가,대주회계법인,적정의견,
엠에스오토텍,123040,코스닥,대현회계법인,적정의견,
이글루,067920,코스닥,삼덕회계법인,적정의견,
대성산업,128820,유가,,,최근 2년 사업보고서 없음
아이마켓코리아,122900,유가,안진회계법인,적정의견,
한미약품,128940,유가,안진회계법인,적정의견,
인터로조,119610,코스닥,삼일회계법인,적정의견,
하이텍팜,106190,코스닥,선일회계법인,적정의견,
우진,105840,유가,,,최근 2년 사업보고서 없음
무학,033920,유가,성현회계법인,적정의견,
에스디시스템,121890,코스닥,정동회계법인,적정의견,
알톤,123750,코스닥,한미회계법인,적정의견,
유비벨록스,089850,코스닥,삼덕회계법인,적정의견,
오르비텍,046120,코스닥,신한회계법인,적정의견,
이연제약,102460,유가,삼덕회계법인,적정의견,
퀀텀레일,070300,코스닥,예지회계법인,적정의견,
투비소프트,079970,코스닥,삼일회계법인,의견거절,
한국화장품,123690,유가,이촌회계법인,적정의견,
에스제이엠,123700,유가,,,최근 2년 사업보고서 없음
인피니트헬스케어,071200,코스닥,우리회계법인,적정의견,
서진오토모티브,122690,코스닥,성현회계법인,적정의견,
인지소프트,100030,코스닥,도원회계법인,적정의견,
HL홀딩스,060980,유가,대주회계법인,적정의견,
삼성생명,032830,유가,삼일회계법인,적정의견,
딥커머스,900110,코스닥,인덕회계법인,적정의견,
파이온엑스,900100,코스닥,대주회계법인,적정의견,
케이씨에스,115500,코스닥,삼일회계법인,적정의견,
씨엑스아이,900120,코스닥,신한회계법인,적정의견,
HLB테라퓨틱스,115450,코스닥,신한회계법인,적정의견,
삼기,122350,코스닥,,,감사의견 절을 못 찾음
한화생명,088350,유가,한영회계법인,적정의견,
이미지스,115610,코스닥,삼화회계법인,적정의견,
조선선재,120030,유가,현대회계법인,적정의견,
인포바인,115310,코스닥,태성회계법인,적정의견,
케이이엠텍,106080,코스닥,태성회계법인,의견거절,
모베이스,101330,코스닥,태일회계법인,적정의견,
코오롱인더,120110,유가,안진회계법인,적정의견,
KC코트렐,119650,유가,삼화회계법인,적정의견,
지역난방공사,071320,유가,삼일회계법인,적정의견,
스타플렉스,115570,코스닥,신한회계법인,적정의견,
우리넷,115440,코스닥,삼정회계법인,적정의견,
아세아텍,050860,코스닥,삼덕회계법인,적정의견,
영흥,012160,유가,,,최근 2년 사업보고서 없음
폴라리스우노,114630,코스닥,도원회계법인,적정의견,
코디,080530,코스닥,삼정회계법인,적정의견,
메타케어,118000,유가,삼일회계법인,적정의견,
글로벌에스엠,900070,코스닥,신한회계법인,적정의견,
DGI,099520,코스닥,이정회계법인,적정의견,
그린생명과학,114450,코스닥,삼정회계법인,적정의견,
그린생명과학,114450,코스닥,삼정회계법인,적정의견,
디와이피엔에프,104460,코스닥,삼덕회계법인,,
위메이드,112040,코스닥,삼일회계법인,적정의견,
한전기술,052690,유가,신한회계법인,적정의견,
셀바스AI,108860,코스닥,한영회계법인,적정의견,
이원컴포텍,088290,코스닥,삼일회계법인,적정의견,
강원에너지,114190,코스닥,이정회계법인,적정의견,
GKL,114090,유가,대주회계법인,적정의견,
휴맥스,115160,코스닥,성현회계법인,적정의견,
앱토크롬,109960,코스닥,대성삼경회계법인,적정의견,
SK,034730,유가,,,최근 2년 사업보고서 없음
동방선기,099410,코스닥,서우회계법인,적정의견,
KS인더스트리,101000,코스닥,삼일회계법인,적정의견,
진매트릭스,109820,코스닥,한울회계법인,적정의견,
황금에스티,032560,유가,신한회계법인,적정의견,
비츠로셀,082920,코스닥,삼일회계법인,적정의견,
하이트진로,000080,유가,삼정회계법인,적정의견,
한스바이오메드,042520,코스닥,삼일회계법인,적정의견,
NHN벅스,104200,코스닥,삼일회계법인,적정의견,
아이앤씨,052860,코스닥,삼정회계법인,적정의견,
유니온머티리얼,047400,유가,삼정회계법인,적정의견,
케이엔더블유,105330,코스닥,한미회계법인,적정의견,
형지엘리트,093240,유가,삼덕회계법인,적정의견,
디에스케이,109740,코스닥,삼정회계법인,적정의견,
제넥신,095700,코스닥,삼정회계법인,적정의견,
톱텍,108230,코스닥,인덕회계법인,적정의견,
동국S&C,100130,코스닥,광교회계법인,적정의견,
에스앤더블류,103230,코스닥,우리회계법인,적정의견,
키움증권,039490,유가,,,최근 2년 사업보고서 없음
영원무역,111770,유가,삼일회계법인,적정의견,
컴투스홀딩스,063080,코스닥,한영회계법인,적정의견,
동일금속,109860,코스닥,한울회계법인,적정의견,
한미글로벌,053690,유가,,,최근 2년 사업보고서 없음
동아지질,028100,유가,삼일회계법인,적정의견,
어보브반도체,102120,코스닥,삼일회계법인,적정의견,
위메이드맥스,101730,코스닥,삼일회계법인,적정의견,
이엔에프테크놀로지,102710,코스닥,태성회계법인,적정의견,
스맥,099440,코스닥,대주회계법인,적정의견,
SDN,099220,코스닥,삼일회계법인,적정의견,
한국정밀기계,101680,코스닥,삼덕회계법인,적정의견,
HD현대마린엔진,071970,유가,삼정회계법인,적정의견,
흥국,010240,코스닥,삼도회계법인,적정의견,
우림피티에스,101170,코스닥,인덕회계법인,적정의견,
티플랙스,081150,코스닥,삼덕회계법인,적정의견,
LX하우시스,108670,유가,삼정회계법인,적정의견,
에스티오,098660,코스닥,한울회계법인,적정의견,
에이테크솔루션,071670,코스닥,삼정회계법인,적정의견,
에스앤에스텍,101490,코스닥,한미회계법인,적정의견,
