회사명,종목코드,시장,감사인,감사의견,비고
KB제29호스팩,478390,코스닥,신한회계법인,적정의견,
미래에셋비전스팩5호,477470,코스닥,한미회계법인,적정의견,
씨어스,458870,코스닥,예지회계법인,적정의견,
디비금융스팩12호,477760,코스닥,대주회계법인,적정의견,
라메디텍,462510,코스닥,태성회계법인,적정의견,
그리드위즈,453450,코스닥,삼정회계법인,적정의견,
다원넥스뷰,323350,코스닥,대주회계법인,적정의견,
미래에셋비전스팩4호,477380,코스닥,이촌회계법인,적정의견,
노브랜드,145170,코스닥,삼정회계법인,적정의견,
아이씨티케이,456010,코스닥,광교회계법인,적정의견,
HD현대마린솔루션,443060,유가,삼일회계법인,적정의견,
SK증권제12호스팩,473000,코스닥,삼덕회계법인,적정의견,
코칩,126730,코스닥,동현회계법인,적정의견,
민테크,452200,코스닥,신한회계법인,적정의견,
카티스,140430,코스닥,서우회계법인,적정의견,
디앤디파마텍,347850,코스닥,이촌회계법인,적정의견,
유안타제16호스팩,474490,코스닥,동성회계법인,적정의견,
제일엠앤에스,412540,코스닥,삼덕회계법인,의견거절,
삐아,451250,코스닥,다산회계법인,적정의견,
하나33호스팩,475250,코스닥,한미회계법인,적정의견,
신한제13호스팩,474930,코스닥,이촌회계법인,적정의견,
신한제12호스팩,474660,코스닥,신한회계법인,적정의견,
아이엠비디엑스,461030,코스닥,한울회계법인,적정의견,
SK이터닉스,475150,유가,삼정회계법인,적정의견,
하나32호스팩,475240,코스닥,삼도회계법인,적정의견,
엔젤로보틱스,455900,코스닥,신한회계법인,적정의견,
제이투케이바이오,420570,코스닥,한울회계법인,적정의견,
삼현,437730,코스닥,안경회계법인,적정의견,
오상헬스케어,036220,코스닥,삼일회계법인,적정의견,
케이엔알시스템,199430,코스닥,대주회계법인,적정의견,
하나31호스팩,469900,코스닥,정진세림회계법인,적정의견,
SK증권제11호스팩,472230,코스닥,현대회계법인,적정의견,
유안타제15호스팩,473050,코스닥,한길회계법인,적정의견,
유진스팩10호,468760,코스닥,동아송강회계법인,적정의견,
에이피알,278470,유가,현대회계법인,적정의견,
E8,418620,코스닥,삼도회계법인,적정의견,
코셈,360350,코스닥,신우회계법인,적정의견,
케이웨더,068100,코스닥,예일회계법인,적정의견,
사피엔반도체,452430,코스닥,삼일회계법인,적정의견,
